SongPos,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18,ID19,ID20,ID21,ID22,ID23,ID24,ID25,ID26,ID27,ID28,ID29,ID30,ID31
000 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
001 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
002 ,Y,Y,Y,Y,Y,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , ,
003Y,Y,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , ,
004 , , , , , ,Y, , ,Y,Y, , , , ,Y, , , , , , , , , , , , , , ,Y,
005 , , , , , , , , ,Y,Y, , , , ,Y, , , , , , , , , , , , , , ,Y,
006 , , , , , ,Y, , ,Y, , , ,Y, ,Y, , , , , , , , , , , , , , ,Y,
007 , , , , , , , , ,Y, ,Y, , , ,Y, , , , , , , , , , , , , , ,Y,
008 , , , , , ,Y,Y, ,Y,Y, ,Y, , ,Y, , , , , , , , , , , , , ,Y, ,
009 , , , , , , ,Y, ,Y,Y, , , , ,Y, , , , , , , , , , , , , ,Y, ,
010 , , , , , ,Y,Y, ,Y, , , ,Y, ,Y, , , , , , , , , , , , , ,Y, ,
011 , , , , , ,Y,Y, ,Y, ,Y, , , ,Y, , , , , , , , , , , , , ,Y, ,
012 , , , , , ,Y, , , , , , , , , , , , , , , , ,Y, , , , ,Y, , ,
013 , , , , , ,Y, , ,Y,Y, , , , , , ,Y, ,Y,Y, ,Y, , , , , ,Y, , ,
014 , , , , , ,Y, , , , , , , , , , , , ,Y, , , , , , , , ,Y, , ,
015 , , , , , ,Y, , ,Y,Y, , , , , , ,Y, ,Y,Y, ,Y, , , , , ,Y, , ,
016 , , , , , ,Y, , , , , , , , , , , , , , , ,Y,Y, , , ,Y, , , ,
017 , , , , , , , , , , , , , , , , , , , , , ,Y,Y, , , ,Y, , , ,
018 , , , , , ,Y, , , , ,Y, , , , , , , , , , ,Y,Y, , , ,Y, , , ,
019 , , , , , , , , , , ,Y, , , , , , , , , , ,Y,Y, , , ,Y, , , ,
020 , , , , , , ,Y, , , , , , , , , , , , , , ,Y,Y, , , , , ,Y, ,
021 , , , , , , ,Y, , , , , , , , , , , , , , ,Y,Y, , , , , ,Y, ,
022 , , , , , , ,Y, , , , , , , , , , , , , , ,Y,Y, , , , , ,Y, ,
023 , , , , , , ,Y, , , , , , , , , , , , , , ,Y,Y, , , , , ,Y, ,
024Y, , , , ,Y, , , , , ,Y, , , , , , , , , , , , , , , , , ,Y, ,
025 ,Y,Y,Y,Y,Y,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , ,
026 ,Y,Y,Y,Y,Y,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , ,
027 ,Y,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
028 ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
029 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
030 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
031 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
032 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
033 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
034 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
035 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
036 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
037 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
038 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
039 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
040 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
041 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
042 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
043 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
044 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
045 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
046 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
047 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
048 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
049 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
050 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
051 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
052 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
053 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
054 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
055 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
056 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
057 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
058 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
059 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
060 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
061 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
062 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
063 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
064 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
065 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
066 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
067 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
068 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
069 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
070 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
071 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
